"rank","eff","conf","color"
1,6950,"Cray XT5-HE Opteron 6-core 2.6 GHz","#6495ED"
2,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#DC143C"
3,3090,"Cray XT5-HE Opteron 6-core 2.6 GHz","#FF7F50"
4,2268,"Blue Gene/P Solution","#6495ED"
6,2348,"SGI Altix ICE 8200EX, Xeon QC 3.0 GHz/Nehalem EP 2.93 Ghz","#00008B"
7,2329,"eServer Blue Gene Solution","#6495ED"
8,1260,"Blue Gene/P Solution","#6495ED"
9,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#008B8B"
11,1134,"Blue Gene/P Solution","#6495ED"
13,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#A9A9A9"
14,1275,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","#00008B"
15,1150,"Cray XT4 QuadCore 2.3 GHz","#FF7F50"
16,1580,"Cray XT4 QuadCore 2.1 GHz","#FF7F50"
17,2506,"Cray XT3/XT4","#FF7F50"
18,504,"Blue Gene/P Solution","#6495ED"
21,713,"Cray XT5 SixCore 2.4 GHz","#FF7F50"
22,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#A9A9A9"
24,774,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","#00FFFF"
25,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#00FFFF"
26,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#00FFFF"
27,1139,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","#FF7F50"
28,608,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#00FFFF"
29,276,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#6495ED"
30,888,"Cray XT4 QuadCore 2.3 GHz","#FF7F50"
32,315,"Blue Gene/P Solution","#6495ED"
33,1329,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
34,1329,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
35,1288,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
36,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#8B008B"
37,475,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","#00FFFF"
41,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#00FFFF"
45,831,"Hitachi opteron QC 2.3 GHz Myrinet 10G","#FF8C00"
46,1095,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
49,252,"Blue Gene/P Solution","#6495ED"
51,448,"eServer Blue Gene Solution","#6495ED"
53,390,"Cray XT5 6/4 Core 2.4 Ghz","#FF7F50"
54,588,"Cray XT5 QC 2.3 GHz","#FF7F50"
56,1103,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband","#9932CC"
57,700,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","#FF7F50"
58,403,"eServer Blue Gene Solution","#6495ED"
60,869,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
61,859,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
62,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#FF7F50"
63,332,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#00008B"
64,481,"Cray XT5 QC 2.3 GHz","#FF7F50"
65,520,"Cray XT5/XT4 QC 2.3 GHz","#FF7F50"
66,1992,"eServer pSeries p5 575 1.9 GHz","#6495ED"
68,797,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
69,797,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
70,358,"eServer Blue Gene Solution","#6495ED"
72,350,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz","#00FFFF"
74,222,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2","#6495ED"
76,430,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#00008B"
78,138,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#6495ED"
79,285,"PowerEdge 1950/SunFire X2200/iDataPlex Cluster Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, Myrinet 10G","#8B0000"
80,649,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
81,645,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband","#556B2F"
82,990,"Altix 4700 1.6 GHz","#00FFFF"
83,418,"Cray XT4 QuadCore 2.1 GHz","#FF7F50"
87,572,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
88,152,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR","#00008B"
89,562,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
90,562,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
93,552,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
94,186,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband","#A9A9A9"
96,218,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR","#00008B"
97,531,"Power 575, p6 4.7 GHz, Infiniband","#6495ED"
99,126,"Blue Gene/P Solution","#6495ED"
100,126,"Blue Gene/P Solution","#6495ED"
101,126,"Blue Gene/P Solution","#6495ED"
102,126,"Blue Gene/P Solution","#6495ED"
103,265,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR","#8FBC8F"
