"rank","eff","conf","color"
1,1433,"eServer Blue Gene Solution","#6495ED"
2,448,"eServer Blue Gene Solution","#FF7F50"
3,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
8,179,"eServer Blue Gene Solution","#FF7F50"
10,3200,"Earth-Simulator","#A9A9A9"
12,134,"eServer Blue Gene Solution","#FF7F50"
15,89,"eServer Blue Gene Solution","#FF7F50"
16,89,"eServer Blue Gene Solution","#FF7F50"
17,89,"eServer Blue Gene Solution","#FF7F50"
18,89,"eServer Blue Gene Solution","#FF7F50"
19,89,"eServer Blue Gene Solution","#FF7F50"
27,307,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
34,545,"PACS-CS, low voltage Xeon 2.8 GHz,  3D Hyper-Crossbar","#FF8C00"
38,44,"eServer Blue Gene Solution","#FF7F50"
39,44,"eServer Blue Gene Solution","#FF7F50"
40,44,"eServer Blue Gene Solution","#FF7F50"
41,44,"eServer Blue Gene Solution","#BDB76B"
51,220,"BladeCenter LS20, Opteron 2.0 GHz Dual core, GigEthernet","#FF7F50"
72,159,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
84,141,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
93,123,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
94,123,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
95,117,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
97,22,"eServer Blue Gene Solution","#FF7F50"
98,22,"eServer Blue Gene Solution","#FF7F50"
99,22,"eServer Blue Gene Solution","#FF7F50"
100,22,"eServer Blue Gene Solution","#FF7F50"
101,22,"eServer Blue Gene Solution","#FF7F50"
102,22,"eServer Blue Gene Solution","#FF7F50"
103,22,"eServer Blue Gene Solution","#FF7F50"
104,22,"eServer Blue Gene Solution","#FF7F50"
105,22,"eServer Blue Gene Solution","#FF7F50"
106,22,"eServer Blue Gene Solution","#FF7F50"
113,112,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
120,113,"BladeCenter LS20, Opteron 2.0 GHz Dual core, GigEthernet","#FF7F50"
132,99,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
147,251,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
148,239,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
149,212,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
151,167,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
152,174,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz, Gig-Ethernet","#FF7F50"
153,164,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
154,164,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
155,163,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
156,163,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
157,163,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
159,167,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
160,178,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, Gig-Ethernet","#FF7F50"
161,178,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, Gig-Ethernet","#FF7F50"
165,169,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
166,167,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
167,167,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
174,211,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
176,91,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
180,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
183,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
184,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
185,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
186,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
187,158,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
189,155,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
190,160,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz, Gig-Ethernet","#FF7F50"
198,152,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
199,152,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
200,152,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
201,157,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz, Gig-Ethernet","#FF7F50"
204,151,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
205,151,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
206,151,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
207,151,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
208,151,"BladeCenter HS20 Cluster, Xeon EMT64T 3.2 GHz, GigEthernet","#FF7F50"
212,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
213,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
214,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
215,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
216,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
217,86,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
220,147,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
221,147,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
222,147,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
223,147,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
225,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
226,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
227,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
228,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
229,147,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
240,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
241,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
242,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
243,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
244,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
245,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
247,134,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, Gig-Ethernet","#FF7F50"
250,133,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
251,133,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
252,133,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
253,133,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
254,133,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz, Gig-Ethernet","#FF7F50"
275,128,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
282,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
283,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
284,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
285,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
286,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
287,73,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
298,65,"BladeCenter LS20, Opteron 2.2 GHz Dual core, Infiniband","#FF7F50"
299,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
300,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, Gig-Ethernet","#FF7F50"
336,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
337,118,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
348,67,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
349,67,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
350,114,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
371,111,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
373,69,"BladeCenter LS20, Opteron 2.0 GHz Dual core, GigEthernet","#FF7F50"
375,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
376,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
377,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
378,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
379,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
380,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
388,104,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
392,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
393,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
394,103,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
399,102,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
402,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
403,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
404,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
405,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
406,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
407,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
408,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
409,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
410,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
430,98,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
440,94,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
457,87,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
466,52,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
473,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
474,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
475,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
476,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
477,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
478,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
479,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
480,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
481,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
482,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
487,78,"eServer pSeries p5 575 1.9 GHz, GigEth","#FF7F50"
