"rank","eff","conf","color"
1,15371,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","#6495ED"
2,17808,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","#DC143C"
3,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#00FFFF"
4,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#00008B"
5,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#008B8B"
6,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#00FFFF"
7,4232.63,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
8,1753.66,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","#DC143C"
9,3615,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","#DC143C"
10,2834,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
11,4150,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR","#B8860B"
12,4510,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","#A9A9A9"
13,2301,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00FFFF"
14,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00FFFF"
15,3380,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR","#008B8B"
16,1800,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
17,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
18,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
19,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
20,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
21,5175,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR","#008B8B"
22,1227,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","#00FFFF"
23,1652.4,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","#00008B"
24,6327.55,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","#DC143C"
25,4819.5,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P","#008B8B"
26,1382.4,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2","#00008B"
27,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#006400"
28,1480.83,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14","#A9A9A9"
29,1347.84,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
30,1347.84,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
31,927.86,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","#BDB76B"
