"rank","eff","conf","color"
1,716,"eServer Blue Gene Solution","#6495ED"
2,448,"eServer Blue Gene Solution","#FF7F50"
4,3200,"Earth-Simulator","#00FFFF"
6,134,"eServer Blue Gene Solution","#FF7F50"
8,89,"eServer Blue Gene Solution","#FF7F50"
9,89,"eServer Blue Gene Solution","#FF7F50"
13,334,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
21,44,"eServer Blue Gene Solution","#FF7F50"
22,44,"eServer Blue Gene Solution","#FF7F50"
23,44,"eServer Blue Gene Solution","#B8860B"
49,146,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
58,22,"eServer Blue Gene Solution","#FF7F50"
59,22,"eServer Blue Gene Solution","#FF7F50"
60,22,"eServer Blue Gene Solution","#FF7F50"
61,22,"eServer Blue Gene Solution","#FF7F50"
62,22,"eServer Blue Gene Solution","#FF7F50"
63,22,"eServer Blue Gene Solution","#FF7F50"
64,22,"eServer Blue Gene Solution","#FF7F50"
84,251,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
86,163,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
88,167,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
92,169,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
93,167,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
102,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
111,117,"eServer pSeries p5 575 1.9 GHz, GigEth","#FF7F50"
113,117,"eServer pSeries p5 575 1.9 GHz, GigEth","#FF7F50"
116,128,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
133,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
134,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
137,98,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
169,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
170,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
171,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
172,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
173,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
174,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
175,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
176,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
177,50,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
216,83,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
221,47,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
280,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
281,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
282,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
283,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
367,55,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
406,57,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
470,45,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
484,41,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Myrinet","#FF7F50"
485,41,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Myrinet","#FF7F50"
486,41,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Myrinet","#FF7F50"
487,41,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Myrinet","#FF7F50"
