"rank","eff","conf","color"
1,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#6495ED"
2,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#DC143C"
3,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#00FFFF"
4,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
5,1970,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#6495ED"
6,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#00008B"
8,4040,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","#B8860B"
9,821.88,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
10,3575.63,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#6495ED"
11,2132,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#A9A9A9"
12,2580,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","#006400"
13,1436.72,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
14,3986.96,"SGI ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR","#A9A9A9"
15,2200,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#B8860B"
16,575.31,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
17,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#BDB76B"
18,3980,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom","#FF7F50"
19,2910,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom","#FF7F50"
20,4590,"Bull bullx super-node S6010/S6030","#B8860B"
21,1176.8,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","#DC143C"
22,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#6495ED"
23,493.12,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
24,1605.12,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#DC143C"
25,3090,"Cray XT5-HE Opteron Six Core 2.6 GHz","#FF7F50"
26,2800,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR","#8B008B"
28,1074,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","#556B2F"
29,924.16,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","#FF7F50"
30,1155.07,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","#008B8B"
31,328.75,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
32,328.75,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
33,328.75,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
36,699.26,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
37,1386.91,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#6495ED"
38,1386.91,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#6495ED"
39,720,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#006400"
40,972,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","#FF7F50"
41,246.56,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
42,246.56,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#6495ED"
43,540,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","#FF8C00"
44,4032,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090","#006400"
46,1040.18,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#6495ED"
47,1260,"Blue Gene/P Solution","#6495ED"
48,2419.2,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","#006400"
49,4343.73,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","#9932CC"
50,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#FF8C00"
51,407.29,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","#FF7F50"
52,179.15,"Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000","#8B0000"
53,215.6,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P","#6495ED"
54,1134,"Blue Gene/P Solution","#6495ED"
55,3628.8,"SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#006400"
56,537,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#006400"
57,866.82,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#6495ED"
58,299.88,"Intel Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi","#E9967A"
59,222.7,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi","#8FBC8F"
60,1917.6,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet","#006400"
62,400.68,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
63,421.2,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#FF7F50"
64,448,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#FF7F50"
65,164.38,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#6495ED"
66,164.38,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#6495ED"
67,164.38,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#6495ED"
68,164.38,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#6495ED"
70,421.2,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#FF7F50"
71,453.6,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#FF7F50"
72,373.97,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
73,373.97,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
74,2456.4,"SGI Altix ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR","#006400"
75,1267.2,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090","#006400"
77,446.4,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","#B8860B"
78,1711.6,"Cray XE6 12-core 2.1 GHz","#FF7F50"
79,1711.6,"Cray XE6 12-core 2.1 GHz","#FF7F50"
80,780,"Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","#FF7F50"
81,347.26,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#6495ED"
82,386.56,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR","#006400"
