"rank","eff","conf","color"
1,17808,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","#6495ED"
2,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#DC143C"
3,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#00FFFF"
4,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#00008B"
5,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
6,1753.66,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","#6495ED"
7,4510,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","#008B8B"
8,2301,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#DC143C"
9,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#DC143C"
10,6327.55,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","#6495ED"
11,1067.49,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","#DC143C"
12,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#B8860B"
13,1398.61,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","#A9A9A9"
14,4040,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","#FF7F50"
15,1384,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","#006400"
16,2118,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#A9A9A9"
17,821.88,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
18,3747.07,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ","#6495ED"
21,2015.14,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2  2.6/2.8GHz, Infiniband FDR","#006400"
22,3575.63,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#DC143C"
23,657,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
24,1606,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#006400"
26,2132,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#BDB76B"
27,1260,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR","#8B008B"
28,2580,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","#556B2F"
29,1436.72,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#DC143C"
30,2200,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#A9A9A9"
31,5569,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect","#6495ED"
