"rank","eff","conf","color"
1,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#6495ED"
2,2329,"eServer Blue Gene Solution","#FF7F50"
4,1260,"Blue Gene/P Solution","#FF7F50"
5,2000,"SunBlade x6420, Opteron Quad 2Ghz, Infiniband","#00FFFF"
6,1580,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
7,504,"Blue Gene/P Solution","#FF7F50"
8,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#00008B"
9,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#00FFFF"
10,315,"Blue Gene/P Solution","#FF7F50"
11,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#00FFFF"
14,252,"Blue Gene/P Solution","#FF7F50"
15,448,"eServer Blue Gene Solution","#FF7F50"
16,1150,"Cray XT4, 2.6 GHz","#6495ED"
17,638,"Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G","#008B8B"
18,403,"eServer Blue Gene Solution","#FF7F50"
19,1329,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
20,1073,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
21,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#6495ED"
22,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
23,358,"eServer Blue Gene Solution","#FF7F50"
28,990,"Altix 4700 1.6 GHz","#00FFFF"
29,418,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
31,649,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
36,562,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
37,265,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR","#BDB76B"
38,126,"Blue Gene/P Solution","#FF7F50"
40,173,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS","#FF7F50"
47,179,"eServer Blue Gene Solution","#FF7F50"
50,3200,"Earth-Simulator","#FF8C00"
52,94,"Blue Gene/P Solution","#FF7F50"
53,94,"Blue Gene/P Solution","#FF7F50"
54,162,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, Infiniband","#FF7F50"
57,418,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#00FFFF"
59,201,"Pyramid Cluster Xeon QC 32xx 2.4 GHz, GigEthernet","#9932CC"
65,510,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet","#00FFFF"
66,134,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#FF7F50"
67,135,"xSeries x3450 Cluster Xeon quad core, 2.8 GHz, Infiniband","#8B0000"
69,134,"eServer Blue Gene Solution","#FF7F50"
