"rank","eff","conf","color"
1,1433,"eServer Blue Gene Solution","#6495ED"
3,448,"eServer Blue Gene Solution","#FF7F50"
4,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
13,179,"eServer Blue Gene Solution","#FF7F50"
14,3200,"Earth-Simulator","#A9A9A9"
17,134,"eServer Blue Gene Solution","#FF7F50"
21,89,"eServer Blue Gene Solution","#FF7F50"
22,89,"eServer Blue Gene Solution","#FF7F50"
23,89,"eServer Blue Gene Solution","#FF7F50"
24,89,"eServer Blue Gene Solution","#FF7F50"
25,89,"eServer Blue Gene Solution","#FF7F50"
35,501,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
36,386,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
37,386,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
38,365,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
39,365,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
42,67,"eServer Blue Gene Solution","#FF7F50"
46,307,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
48,313,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
55,276,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
56,545,"PACS-CS, low voltage Xeon 2.8 GHz,  3D Hyper-Crossbar","#9932CC"
61,44,"eServer Blue Gene Solution","#FF7F50"
62,44,"eServer Blue Gene Solution","#FF7F50"
63,44,"eServer Blue Gene Solution","#FF7F50"
64,44,"eServer Blue Gene Solution","#FF7F50"
65,44,"eServer Blue Gene Solution","#FF7F50"
66,44,"eServer Blue Gene Solution","#556B2F"
75,102,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband","#FF7F50"
77,220,"BladeCenter LS20, Opteron 2.0 GHz Dual core, GigEthernet","#FF7F50"
79,216,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
100,165,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
102,159,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
112,156,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
117,141,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
120,137,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
131,123,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
132,123,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
133,123,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
135,117,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
138,22,"eServer Blue Gene Solution","#FF7F50"
139,22,"eServer Blue Gene Solution","#FF7F50"
140,22,"eServer Blue Gene Solution","#FF7F50"
141,22,"eServer Blue Gene Solution","#FF7F50"
142,22,"eServer Blue Gene Solution","#FF7F50"
143,22,"eServer Blue Gene Solution","#FF7F50"
144,22,"eServer Blue Gene Solution","#FF7F50"
145,22,"eServer Blue Gene Solution","#FF7F50"
146,22,"eServer Blue Gene Solution","#FF7F50"
147,22,"eServer Blue Gene Solution","#FF7F50"
148,22,"eServer Blue Gene Solution","#FF7F50"
