"rank","eff","conf","color"
1,9898.56,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#6495ED"
2,4040,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C","#DC143C"
3,6950,"Cray XT5-HE Opteron 6-core 2.6 GHz","#00FFFF"
4,2580,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU","#00008B"
5,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#008B8B"
6,3980,"Cray XE6 8-core 2.4 GHz","#DC143C"
7,4102,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon 5570/5670 2.93 Ghz, Infiniband","#B8860B"
8,2910,"Cray XE6 12-core 2.1 GHz","#DC143C"
9,4590,"Bull bullx super-node S6010/S6030","#A9A9A9"
10,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#006400"
11,3090,"Cray XT5-HE Opteron Six Core 2.6 GHz","#DC143C"
12,2268,"Blue Gene/P Solution","#A9A9A9"
13,2800,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670 2.93 GHz, Nvidia 2070 GPU, Infiniband QDR","#A9A9A9"
14,2329,"eServer Blue Gene Solution","#A9A9A9"
15,1260,"Blue Gene/P Solution","#A9A9A9"
16,4343.73,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","#BDB76B"
17,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#A9A9A9"
18,1134,"Blue Gene/P Solution","#A9A9A9"
20,1711.6,"Cray XE6 12-core 2.1 GHz","#DC143C"
21,1711.6,"Cray XE6 12-core 2.1 GHz","#DC143C"
22,416.78,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband","#8B008B"
23,1726.32,"Cray XE6 12-core 2.2 GHz","#DC143C"
25,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#B8860B"
26,1275,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","#A9A9A9"
27,1150,"Cray XT4 QuadCore 2.3 GHz","#DC143C"
30,1064,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","#008B8B"
35,1580,"Cray XT4 QuadCore 2.1 GHz","#DC143C"
36,2506,"Cray XT3/XT4","#DC143C"
37,610,"Cray XT6-HE, Opteron 6100 12C 2.1GHz","#DC143C"
38,831,"BX900 Xeon X5570 2.93GHz , Infiniband QDR","#FF7F50"
39,504,"Blue Gene/P Solution","#A9A9A9"
43,510,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","#A9A9A9"
44,713,"Cray XT5 SixCore 2.4 GHz","#DC143C"
45,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#8B0000"
48,719,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","#008B8B"
49,774,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","#008B8B"
50,423.12,"Power 775, Power7 3.836 GHz","#A9A9A9"
55,337,"iDataPlex DX360M3, Xeon 2.66, Infiniband","#A9A9A9"
