"rank","eff","conf","color"
1,2483,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#6495ED"
2,6950,"Cray XT5 QC 2.3 GHz","#DC143C"
3,2090,"SGI Altix ICE 8200EX, Xeon QC 3.0/2.66 GHz","#00FFFF"
4,2329,"eServer Blue Gene Solution","#FF7F50"
6,1260,"Blue Gene/P Solution","#FF7F50"
7,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#00008B"
8,1150,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
9,1580,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
10,2506,"Sandia/ Cray Red Storm, XT3/4, 2.4/2.2 GHz dual/quad core","#6495ED"
12,504,"Blue Gene/P Solution","#FF7F50"
13,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#DC143C"
14,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#DC143C"
15,608,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#DC143C"
16,888,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
17,315,"Blue Gene/P Solution","#FF7F50"
18,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#DC143C"
22,1329,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
23,1329,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
24,1073,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
25,252,"Blue Gene/P Solution","#FF7F50"
26,448,"eServer Blue Gene Solution","#FF7F50"
27,588,"Cray XT5 QC 2.3 GHz","#6495ED"
28,638,"Hitachi Cluster Opteron QC 2.3 GHz, Myrinet 10G","#A9A9A9"
29,403,"eServer Blue Gene Solution","#FF7F50"
31,481,"Cray XT5 QC 2.3 GHz","#6495ED"
32,515,"Cray XT5/XT4 QC 2.3 GHz","#6495ED"
33,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#6495ED"
34,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
35,358,"eServer Blue Gene Solution","#FF7F50"
36,327,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband","#DC143C"
37,797,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
39,782,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
42,138,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#FF7F50"
43,138,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#FF7F50"
44,649,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
45,990,"Altix 4700 1.6 GHz","#DC143C"
46,418,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
51,572,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
53,531,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
54,531,"Power 575, p6 4.7 GHz, Infiniband","#FF7F50"
55,265,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR","#556B2F"
57,126,"Blue Gene/P Solution","#FF7F50"
