"rank","eff","conf","color"
99,1329,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
100,1288,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
101,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#FF7F50"
103,475,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","#008B8B"
104,176.4,"Intel Cluster, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","#696969"
106,477,"BULL Novascale R422-E2","#B8860B"
111,117.91,"HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR","#008B8B"
112,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#008B8B"
114,81.5,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090","#B8860B"
117,250.74,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
118,831,"Hitachi opteron QC 2.3 GHz Myrinet 10G","#00CED1"
120,745,"Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050","#DC143C"
122,1095,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
123,526.1,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
124,526.1,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#A9A9A9"
129,546.26,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
131,252,"Blue Gene/P Solution","#A9A9A9"
134,108.15,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
135,108.15,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
137,448,"eServer Blue Gene Solution","#A9A9A9"
138,360,"Appro Xtreme-X3 Opteron 2.4GHz, Infiniband QDR","#DC143C"
140,212.62,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","#A9A9A9"
143,497.76,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
144,240.41,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","#A9A9A9"
145,240.41,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","#A9A9A9"
149,108.8,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","#B8860B"
150,490.18,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#A9A9A9"
155,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
156,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
157,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
158,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
159,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
160,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
161,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
162,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
163,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
164,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
165,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
166,99.14,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","#A9A9A9"
168,700,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","#DC143C"
170,403,"eServer Blue Gene Solution","#A9A9A9"
171,418.14,"iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
172,380.23,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#A9A9A9"
173,380.23,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#A9A9A9"
174,380.23,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#A9A9A9"
175,380.23,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#A9A9A9"
176,486,"BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet","#A9A9A9"
181,869,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
182,859,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
184,386.88,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#A9A9A9"
185,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#DC143C"
186,906.16,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband","#A9A9A9"
187,332,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#8B008B"
188,481,"Cray XT5 QC 2.3 GHz","#DC143C"
190,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
191,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
192,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
193,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
194,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
195,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
196,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
197,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
198,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
199,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
200,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
201,421.48,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
202,520,"Cray XT5/XT4 QC 2.3 GHz","#DC143C"
204,431.5,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#A9A9A9"
206,1992,"eServer pSeries p5 575 1.9 GHz","#A9A9A9"
212,105.94,"Supermicro Xeon Cluster, E5462 2.8 Ghz, Nvidia Tesla s2050 GPU, Infiniband","#FF00FF"
213,226.5,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR","#A9A9A9"
217,241.8,"xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Infiniband QDR","#A9A9A9"
218,405.11,"xSeries x3550M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
219,335.48,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, Infiniband","#A9A9A9"
220,286.72,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#A9A9A9"
221,129.6,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband","#00CED1"
223,797,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
224,797,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
225,358,"eServer Blue Gene Solution","#A9A9A9"
227,203.88,"BladeCenter HS22 Cluster, WM Xeon 6-core, Xeon X5650 6C 2.66 GHz, Infiniband","#A9A9A9"
228,154,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband","#A9A9A9"
229,197.79,"iDataPlex DX360M3, Xeon 2.66, Infiniband","#A9A9A9"
230,189,"BlueGene/P, PowerPC 450 4C 850 MHz, Proprietary","#A9A9A9"
231,330.91,"xSeries iDataPlex, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
233,158.92,"Power 775, Power7 3.836 GHz","#A9A9A9"
234,91.98,"ASUS ESC4000, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA 2070","#DCDCDC"
235,96.03,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR","#008B8B"
237,350,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz","#008B8B"
238,395.37,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","#A9A9A9"
239,395.37,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","#A9A9A9"
240,395.37,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE","#A9A9A9"
249,386.97,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
250,386.97,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
251,386.97,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
252,386.97,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
255,293.46,"BladeCenter HS22 Cluster (WM), Xeon L5640 6C 2.26 GHz, Gigabit Ethernet","#A9A9A9"
256,76.25,"iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband QDR, NVIDIA 2070","#A9A9A9"
257,335.7,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#A9A9A9"
258,335.7,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#A9A9A9"
265,222,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2","#A9A9A9"
270,370.79,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet","#A9A9A9"
274,312.56,"BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
276,184.03,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","#A9A9A9"
278,360.84,"xSeries x3650M3, Xeon X56xx 2.66 GHz, GigE","#A9A9A9"
280,360.47,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
281,360.47,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
282,360.47,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
283,351.99,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE","#A9A9A9"
284,38.67,"NNSA/SC Blue Gene/Q Prototype 1","#A9A9A9"
288,226.2,"BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","#A9A9A9"
289,195,"BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR","#A9A9A9"
290,430,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#8B008B"
291,480.24,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","#A9A9A9"
292,633.2,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE","#A9A9A9"
293,360.42,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","#A9A9A9"
294,360.42,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
295,291.38,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet","#A9A9A9"
296,156.71,"Power 775, POWER7 8C 3.84 GHz, Custom","#A9A9A9"
297,318.2,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
300,435.75,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","#A9A9A9"
301,435.75,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE","#A9A9A9"
302,323.84,"xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz, GigEthernet","#A9A9A9"
303,350.42,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet","#A9A9A9"
307,365.66,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","#A9A9A9"
308,365.66,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","#A9A9A9"
309,365.66,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","#A9A9A9"
311,375.36,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","#A9A9A9"
312,298,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","#A9A9A9"
313,349.3,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","#A9A9A9"
314,349.3,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","#A9A9A9"
315,309.1,"BladeCenter HS22 Cluster (WM), Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
316,175.67,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
317,175.67,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
318,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
319,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
320,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
321,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
322,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
323,351.06,"xSeries x3650M3 Cluster, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet","#A9A9A9"
331,144,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","#A9A9A9"
332,170.22,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
333,170.22,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband","#A9A9A9"
339,649,"Power 575, p6 4.7 GHz, Infiniband","#A9A9A9"
346,293.28,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#A9A9A9"
347,293.28,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#A9A9A9"
