"rank","eff","conf","color"
1,4040,"NUDT TH MPP, X5670 2.93Ghz 6C, NVIDIA GPU, FT-1000 8C","#6495ED"
2,6950,"Cray XT5-HE Opteron 6-core 2.6 GHz","#DC143C"
3,2580,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU","#00FFFF"
4,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#00008B"
5,2910,"Cray XE6 12-core 2.1 GHz","#6495ED"
6,4590,"Bull bullx super-node S6010/S6030","#008B8B"
7,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#B8860B"
8,3090,"Cray XT5-HE Opteron 6-core 2.6 GHz","#6495ED"
9,2268,"Blue Gene/P Solution","#008B8B"
10,2950,"Cray XE6 8-core 2.4 GHz","#6495ED"
11,3096,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband","#A9A9A9"
12,2329,"eServer Blue Gene Solution","#008B8B"
13,1260,"Blue Gene/P Solution","#008B8B"
14,4343.73,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","#006400"
15,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#A9A9A9"
16,1134,"Blue Gene/P Solution","#008B8B"
19,1711.6,"Cray XE6 12-core 2.1 GHz","#6495ED"
20,1711.6,"Cray XE6 12-core 2.1 GHz","#6495ED"
21,1726.32,"Cray XE6 12-core 2.2 GHz","#6495ED"
23,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#00008B"
24,1275,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","#A9A9A9"
26,1150,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
27,1064,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","#B8860B"
30,1580,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
31,2506,"Cray XT3/XT4","#6495ED"
32,610,"Cray XT6-HE, Opteron 6100 12C 2.1GHz","#6495ED"
33,831,"BX900 Xeon X5570 2.93GHz , Infiniband QDR","#556B2F"
34,504,"Blue Gene/P Solution","#008B8B"
37,510,"iDataPlex, Xeon X56xx 6C 2.93 GHz, Infiniband","#008B8B"
38,713,"Cray XT5 SixCore 2.4 GHz","#6495ED"
39,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#FF8C00"
42,719,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband","#B8860B"
43,774,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","#B8860B"
46,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#B8860B"
47,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#B8860B"
48,1139,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","#6495ED"
49,276,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#008B8B"
52,888,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
54,677.4,"Cray XE6 12-core 2.1 GHz","#6495ED"
56,315,"Blue Gene/P Solution","#008B8B"
57,1329,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
58,1329,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
59,1288,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
60,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#8B008B"
61,475,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","#B8860B"
62,477,"BULL Novascale R422-E2","#00008B"
66,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#B8860B"
71,831,"Hitachi opteron QC 2.3 GHz Myrinet 10G","#483D8B"
73,745,"Appro GreenBlade Cluster Xeon X5660 2.8Ghz, nVIDIA M2050, Infiniband","#6495ED"
74,1095,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
77,252,"Blue Gene/P Solution","#008B8B"
81,448,"eServer Blue Gene Solution","#008B8B"
82,588,"Cray XT5 QC 2.3 GHz","#6495ED"
87,108.8,"Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","#00008B"
89,1103,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband","#2F4F4F"
92,700,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","#6495ED"
93,403,"eServer Blue Gene Solution","#008B8B"
95,869,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
96,859,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
97,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#6495ED"
98,332,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#A9A9A9"
99,481,"Cray XT5 QC 2.3 GHz","#6495ED"
100,520,"Cray XT5/XT4 QC 2.3 GHz","#6495ED"
101,1992,"eServer pSeries p5 575 1.9 GHz","#008B8B"
103,115.87,"Asterism ID318, Intel Xeon E5530, NVIDIA C2050, Infiniband","#00CED1"
105,797,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
106,797,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
107,358,"eServer Blue Gene Solution","#008B8B"
109,350,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz","#B8860B"
113,222,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2","#008B8B"
116,38.67,"NNSA/SC Blue Gene/Q Prototype 1","#008B8B"
117,430,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#A9A9A9"
118,94,"HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR","#B8860B"
121,138,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#008B8B"
123,298,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","#008B8B"
128,649,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
130,141,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband","#008B8B"
131,160,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband","#8B0000"
132,645,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband","#8FBC8F"
133,990,"Altix 4700 1.6 GHz","#B8860B"
134,418,"Cray XT4 QuadCore 2.1 GHz","#6495ED"
135,510,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.26 Ghz, GigE","#008B8B"
138,598,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
140,155,"Cray XT6 12-Core 2.0/2.1/2.2 GHz","#6495ED"
141,246,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband","#FF1493"
144,572,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
146,94,"Supermicro Xeon Cluster, E5462 2.8 Ghz, Nvidia Tesla s2050 GPU, Infiniband","#696969"
150,152,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR","#A9A9A9"
151,562,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
152,562,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
154,182,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband","#008B8B"
156,393,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
158,552,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
159,186,"NEC HPC 140Rb-1 Cluster, Xeon X5560 2.8Ghz, Infiniband","#8B0000"
162,167,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","#008B8B"
163,220,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR","#A9A9A9"
164,218,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR","#A9A9A9"
165,531,"Power 575, p6 4.7 GHz, Infiniband","#008B8B"
166,290,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#008B8B"
167,290,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, GigE","#008B8B"
172,57,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#8B008B"
175,126,"Blue Gene/P Solution","#008B8B"
176,126,"Blue Gene/P Solution","#008B8B"
177,126,"Blue Gene/P Solution","#008B8B"
178,126,"Blue Gene/P Solution","#008B8B"
179,190,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband","#008B8B"
180,118,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband","#008B8B"
181,265,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR","#1E90FF"
183,280,"BladeCenter HS22 Cluster, Xeon QC GT 2.93 GHz, GigEthernet","#008B8B"
188,255,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
190,384,"xSeries x3550 Cluster, QC HT Xeon 2.66 GHz, Infiniband","#008B8B"
191,173,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS","#008B8B"
193,637,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband","#008B8B"
196,160,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband","#008B8B"
197,251,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet","#008B8B"
200,254,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
204,174,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, Infiniband","#008B8B"
205,249,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
207,248,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
208,248,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
209,57,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus","#008B8B"
210,57,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus","#008B8B"
211,57,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus","#008B8B"
212,245,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
213,245,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
214,233,"xSeries x3550M2 Cluster Xeon QC GT 2.26 GHz, Infiniband","#008B8B"
221,183,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz","#B8860B"
222,183,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz","#B8860B"
225,206,"iDataPlex, Xeon QC 3.0 GHz, Infiniband","#008B8B"
228,240,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","#008B8B"
229,240,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet","#008B8B"
236,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
237,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
238,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
239,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
240,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
241,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
242,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
243,190,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband","#008B8B"
245,320,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
246,320,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
247,320,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
248,282,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
249,282,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
250,282,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
255,274,"Cray XT4 QuadCore 2.3 GHz","#6495ED"
257,313,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
258,313,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
259,313,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
260,192,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband","#008B8B"
263,233,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","#008B8B"
264,233,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, GigEthernet","#008B8B"
269,307,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
270,307,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE","#008B8B"
272,215,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
273,215,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
274,236,"BladeCenter HS21 Cluster, Xeon QC HT 2.13 GHz, Infiniband","#008B8B"
278,144,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
279,144,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
281,45,"GRAPE-DR accelerator Cluster, Infiniband","#B22222"
283,312,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet","#008B8B"
284,309,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet","#008B8B"
285,220,"iDataPlex, Xeon E55xx QC 2.66 GHz, GigE","#008B8B"
286,132,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband","#008B8B"
287,219,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, GigEthernet","#008B8B"
292,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
293,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
294,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
295,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
296,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
297,141,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband","#008B8B"
301,208,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet","#008B8B"
