"rank","eff","conf","color"
1,17808,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","#6495ED"
2,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#DC143C"
3,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#00FFFF"
4,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#00008B"
5,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
6,4510,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","#008B8B"
7,2301,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#DC143C"
8,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#DC143C"
9,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#B8860B"
10,4040,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","#FF7F50"
11,2118,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#A9A9A9"
12,821.88,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
13,3575.63,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","#DC143C"
14,1606,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#B8860B"
15,2132,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#006400"
16,2580,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","#A9A9A9"
17,1436.72,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#DC143C"
18,575.31,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
19,3986.96,"SGI ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR","#B8860B"
20,2200,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","#A9A9A9"
21,1398.61,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","#BDB76B"
22,3980,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom","#6495ED"
23,493.12,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#DC143C"
24,2910,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom","#6495ED"
25,4590,"Bull bullx super-node S6010/S6030","#A9A9A9"
26,1176.8,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","#00FFFF"
27,1605.12,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#00FFFF"
28,510,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","#B8860B"
29,1015.6,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","#DC143C"
