"rank","eff","conf","color"
1,15371,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","#6495ED"
2,17808,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","#DC143C"
3,2271.99,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","#00FFFF"
4,1350.2,"ZettaScaler-2.2 HPC system, Xeon D-1571 16C 1.3GHz, Infiniband EDR, PEZY-SC2 700Mhz","#00008B"
5,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#DC143C"
6,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#008B8B"
7,3843.58,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#DC143C"
8,3939,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#DC143C"
9,2718.7,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","#B8860B"
10,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#008B8B"
11,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#00008B"
13,792.08,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","#006400"
16,1632,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path","#006400"
17,4407,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR","#A9A9A9"
18,1087,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ","#DC143C"
19,3615,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","#DC143C"
20,2834,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
21,4150,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR","#A9A9A9"
22,2301,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00008B"
23,1248,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2","#BDB76B"
24,1727,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","#A9A9A9"
25,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00008B"
26,1800,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
27,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
28,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
29,1345.28,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40","#8B008B"
30,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
31,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
33,979.62,"HPE SGI 8600, SGI ICE-X, Xeon E5-2680V4/Gold 6148 20C 2.4GHz, Infiniband EDR","#A9A9A9"
34,5175,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR","#A9A9A9"
