"rank","eff","conf","color"
1,2329,"eServer Blue Gene Solution","#6495ED"
2,504,"Blue Gene/P Solution","#FF7F50"
8,448,"eServer Blue Gene Solution","#FF7F50"
9,1150,"Cray XT4, 2.6 GHz","#DC143C"
10,403,"eServer Blue Gene Solution","#FF7F50"
11,1992,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
12,358,"eServer Blue Gene Solution","#FF7F50"
15,990,"Altix 4700 1.6 GHz","#6495ED"
24,126,"Blue Gene/P Solution","#FF7F50"
28,179,"eServer Blue Gene Solution","#FF7F50"
30,3200,"Earth-Simulator","#006400"
33,418,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#6495ED"
37,134,"eServer Blue Gene Solution","#FF7F50"
40,63,"Blue Gene/P Solution","#FF7F50"
41,63,"Blue Gene/P Solution","#FF7F50"
45,501,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
46,501,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
48,488,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband","#FF7F50"
49,193,"xSeries x3550 Cluster Xeon, 3 GHz, Infiniband","#FF7F50"
52,89,"eServer Blue Gene Solution","#FF7F50"
53,89,"eServer Blue Gene Solution","#FF7F50"
54,89,"eServer Blue Gene Solution","#FF7F50"
55,89,"eServer Blue Gene Solution","#FF7F50"
56,89,"eServer Blue Gene Solution","#FF7F50"
57,89,"eServer Blue Gene Solution","#FF7F50"
58,89,"eServer Blue Gene Solution","#FF7F50"
59,329,"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet","#FF7F50"
67,404,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
68,404,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
74,386,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
75,386,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
76,404,"xSeries x3455 Cluster Opteron, 2.6 GHz, Infiniband","#FF7F50"
87,518,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband","#FF7F50"
88,518,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband","#FF7F50"
89,518,"xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband","#FF7F50"
94,67,"eServer Blue Gene Solution","#FF7F50"
104,129,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband","#FF7F50"
106,313,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
108,307,"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet","#FF7F50"
121,313,"eServer pSeries 575, p5+ 1.9 GHz, Infiniband","#FF7F50"
122,31,"Blue Gene/P Solution","#FF7F50"
123,276,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
133,209,"xSeries x3650 Cluster Xeon dual core 2.33 GHz, GigEthernet","#FF7F50"
139,196,"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet","#FF7F50"
