"rank","eff","conf","color"
1,1433,"eServer Blue Gene Solution","#6495ED"
2,448,"eServer Blue Gene Solution","#FF7F50"
3,1671,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
7,3200,"Earth-Simulator","#008B8B"
9,134,"eServer Blue Gene Solution","#FF7F50"
12,89,"eServer Blue Gene Solution","#FF7F50"
13,89,"eServer Blue Gene Solution","#FF7F50"
19,334,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
29,44,"eServer Blue Gene Solution","#FF7F50"
30,44,"eServer Blue Gene Solution","#FF7F50"
31,44,"eServer Blue Gene Solution","#FF7F50"
32,44,"eServer Blue Gene Solution","#A9A9A9"
53,159,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
62,141,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
71,117,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
72,22,"eServer Blue Gene Solution","#FF7F50"
73,22,"eServer Blue Gene Solution","#FF7F50"
74,22,"eServer Blue Gene Solution","#FF7F50"
75,22,"eServer Blue Gene Solution","#FF7F50"
76,22,"eServer Blue Gene Solution","#FF7F50"
77,22,"eServer Blue Gene Solution","#FF7F50"
78,22,"eServer Blue Gene Solution","#FF7F50"
79,22,"eServer Blue Gene Solution","#FF7F50"
80,22,"eServer Blue Gene Solution","#FF7F50"
83,112,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
98,99,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
106,251,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
108,163,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
110,167,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
114,169,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
115,167,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
123,91,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
130,83,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
159,128,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
170,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, Gig-Ethernet","#FF7F50"
201,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
209,67,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
210,67,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
211,114,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
228,120,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
230,111,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
232,118,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
234,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
235,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
236,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
244,104,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
248,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
249,113,"BladeCenter HS20 Cluster, Xeon EM64T 3.4 GHz - Gig-Ethernet","#FF7F50"
251,103,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
254,102,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
257,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
258,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
259,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
260,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
261,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
262,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
263,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
264,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
265,100,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
268,98,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
273,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
274,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
275,106,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
282,94,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
292,87,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz - Gig-Ethernet","#FF7F50"
307,52,"eServer pSeries p5 575 1.9 GHz","#FF7F50"
315,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
316,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
317,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
318,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
319,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
320,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
321,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
322,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
323,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
324,83,"BladeCenter HS20 Cluster, Xeon EM64T 3.6 GHz - Gig-Ethernet","#FF7F50"
329,78,"eServer pSeries p5 575 1.9 GHz, GigEth","#FF7F50"
389,83,"BladeCenter HS20 Cluster, Xeon 3.2 GHz, GigEthernet","#FF7F50"
489,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
490,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
491,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
492,65,"BladeCenter HS20 Cluster, Xeon EM64T 3.2 GHz, GigEthernet","#FF7F50"
