"rank","eff","conf","color"
1,6950,"Cray XT5-HE Opteron 6-core 2.6 GHz","#6495ED"
2,2580,"Dawning TC3600 Blade, Intel X5650, NVidia Tesla C2050 GPU","#DC143C"
3,2345,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","#00FFFF"
4,3090,"Cray XT5-HE Opteron 6-core 2.6 GHz","#FF7F50"
5,2268,"Blue Gene/P Solution","#DC143C"
6,3096,"SGI Altix ICE 8200EX/8400EX, Xeon HT QC 3.0/Xeon Westmere 2.93 Ghz, Infiniband","#00008B"
8,2329,"eServer Blue Gene Solution","#DC143C"
9,1260,"Blue Gene/P Solution","#DC143C"
10,4343.73,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband","#B8860B"
11,2000,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband","#008B8B"
12,1134,"Blue Gene/P Solution","#DC143C"
14,1549,"Sun Constellation, NovaScale R422-E2, Intel Xeon X5570, 2.93 GHz, Sun M9/Mellanox  QDR Infiniband/Partec Parastation","#006400"
15,1275,"Sun Blade x6048,  X6275, IB QDR M9 switch, Sun HPC stack Linux edition","#008B8B"
17,1150,"Cray XT4 QuadCore 2.3 GHz","#FF7F50"
18,1064,"SGI Altix ICE 8200EX, Xeon E5472 3.0/X5560 2.8 GHz","#00FFFF"
20,1580,"Cray XT4 QuadCore 2.1 GHz","#FF7F50"
21,2506,"Cray XT3/XT4","#FF7F50"
22,831,"BX900 Xeon X5570 2.93GHz , Infiniband QDR","#BDB76B"
23,504,"Blue Gene/P Solution","#DC143C"
27,713,"Cray XT5 SixCore 2.4 GHz","#FF7F50"
28,869,"iDataPlex, Xeon E55xx QC 2.53 GHz, GigE","#8B008B"
30,774,"SGI Altix ICR 8200 Enh. LX, Xeon X5560 2.8Ghz","#00FFFF"
32,861,"SGI Altix ICE 8200, Xeon quad core 3.0 GHz","#00FFFF"
33,786,"Cluster Platform 3000 BL460c, Xeon 53xx 3GHz, Infiniband","#00FFFF"
34,1139,"Appro XtremeServer 1143H, Opteron QC 2.2Ghz, Infiniband","#FF7F50"
35,276,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#DC143C"
36,888,"Cray XT4 QuadCore 2.3 GHz","#FF7F50"
38,315,"Blue Gene/P Solution","#DC143C"
39,1329,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
40,1329,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
41,1288,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
42,1020,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR","#A9A9A9"
43,475,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz","#00FFFF"
44,1150,"Bull bullx super-node S6010/S6030","#A9A9A9"
45,477,"BULL Novascale R422-E2","#A9A9A9"
49,442,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz","#00FFFF"
53,831,"Hitachi opteron QC 2.3 GHz Myrinet 10G","#8B0000"
55,1095,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
58,252,"Blue Gene/P Solution","#DC143C"
60,448,"eServer Blue Gene Solution","#DC143C"
61,588,"Cray XT5 QC 2.3 GHz","#FF7F50"
64,1103,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband","#E9967A"
66,700,"Appro Xtreme-X3 Opteron 2.0GHz, Infiniband DDR","#FF7F50"
67,403,"eServer Blue Gene Solution","#DC143C"
69,869,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
70,859,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
71,671,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","#FF7F50"
72,332,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#008B8B"
73,481,"Cray XT5 QC 2.3 GHz","#FF7F50"
74,520,"Cray XT5/XT4 QC 2.3 GHz","#FF7F50"
75,1992,"eServer pSeries p5 575 1.9 GHz","#DC143C"
78,797,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
79,797,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
80,358,"eServer Blue Gene Solution","#DC143C"
81,350,"SGI Altix ICE 8200 Enhanced LX, Xeon X5560 quad core 2.8 GHz","#00FFFF"
83,222,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2","#DC143C"
86,430,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR","#008B8B"
88,138,"BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","#DC143C"
90,649,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
91,645,"Hitachi SR16000 Model L2/128, Power6 4.7Ghz, Infiniband","#9932CC"
92,990,"Altix 4700 1.6 GHz","#00FFFF"
93,418,"Cray XT4 QuadCore 2.1 GHz","#FF7F50"
94,598,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
95,158,"Cray XE6 12-core 2.0 GHz","#FF7F50"
97,155,"Cray XT6 12-Core 2.0/2.1/2.2 GHz","#FF7F50"
98,246,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband","#483D8B"
101,572,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
103,152,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR","#008B8B"
104,562,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
105,562,"Power 575, p6 4.7 GHz, Infiniband","#DC143C"
