"rank","eff","conf","color"
1,8805.5,"IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband","#6495ED"
2,15371,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","#DC143C"
4,18482,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000","#00FFFF"
5,1649.25,"PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","#00008B"
6,2271.99,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","#008B8B"
7,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#00008B"
8,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#FF7F50"
9,3843.58,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#00008B"
10,3939,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#00008B"
12,2718.7,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","#00FFFF"
13,1320,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100","#B8860B"
14,3178,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2","#A9A9A9"
16,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#00FFFF"
17,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#FF7F50"
19,792.08,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","#008B8B"
22,1632,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path","#006400"
23,1361,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite","#B8860B"
24,4407,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR","#008B8B"
25,1353.95,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ","#BDB76B"
26,1353.95,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ","#A9A9A9"
27,3615,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","#00008B"
28,1635,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path","#8B008B"
29,2834,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#00008B"
30,4150,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR","#008B8B"
31,1727,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","#008B8B"
33,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#FF7F50"
34,917,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR","#B8860B"
35,1800,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#00008B"
36,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#00008B"
37,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#00008B"
38,1345.28,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40","#556B2F"
39,1353.23,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#00008B"
40,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#00008B"
41,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#00008B"
43,979.62,"HPE SGI 8600, SGI ICE-X, Xeon E5-2680V4/Gold 6148 20C 2.4GHz, Infiniband EDR","#008B8B"
44,5175,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR","#008B8B"
45,349.5,"NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100","#FF8C00"
46,349.5,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100","#9932CC"
47,1134,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","#B8860B"
49,1227,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","#FF7F50"
50,1652.4,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","#00FFFF"
51,6327.55,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","#00008B"
52,4819.5,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P","#008B8B"
53,676.3,"ThinkSystem SD530, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR","#006400"
54,748.1,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#00008B"
55,1116,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR","#B8860B"
56,1382.4,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx 32C 2.2GHz, Tofu interconnect 2","#00FFFF"
57,3422.67,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","#8B0000"
58,1480.83,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14","#E9967A"
59,1347.84,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#00008B"
60,1347.84,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#00008B"
